hand_value,is_soft,dealer_upcard,can_double,action,estimated_value,visits
14,False,7,False,HIT,-0.318273,2501
14,False,7,False,STAND,-0.451505,299
14,False,7,True,HIT,-0.341450,1848
14,False,7,True,STAND,-0.516199,926
14,False,7,True,DOUBLE,-0.635983,239
14,False,8,False,HIT,-0.405545,2525
14,False,8,False,STAND,-0.537954,303
14,False,8,True,HIT,-0.417638,2574
14,False,8,True,STAND,-0.553398,206
14,False,8,True,DOUBLE,-0.597015,201
14,False,9,False,HIT,-0.434433,2486
14,False,9,False,STAND,-0.555556,306
14,False,9,True,HIT,-0.442698,2417
14,False,9,True,STAND,-0.668394,193
14,False,9,True,DOUBLE,-0.763077,325
14,False,10,False,HIT,-0.514312,9712
14,False,10,False,STAND,-0.531989,1141
14,False,10,True,HIT,-0.506920,10404
14,False,10,True,STAND,-0.598945,758
14,False,10,True,DOUBLE,-0.913495,867
14,True,1,False,HIT,-0.443038,79
14,True,1,False,STAND,-1.000000,9
14,True,1,True,HIT,-0.452991,351
14,True,1,True,STAND,-0.840000,50
14,True,1,True,DOUBLE,-1.405405,37
14,True,2,False,HIT,0.075000,40
14,True,2,False,STAND,-0.333333,45
14,True,2,True,HIT,0.020747,241
14,True,2,True,STAND,-0.375000,128
14,True,2,True,DOUBLE,-0.395833,96
14,True,3,False,HIT,-0.144928,69
14,True,3,False,STAND,-0.636364,11
14,True,3,True,HIT,-0.306122,49
14,True,3,True,STAND,-0.252174,345
14,True,3,True,DOUBLE,-0.354839,62
14,True,4,False,HIT,0.151899,79
14,True,4,False,STAND,-0.090909,11
14,True,4,True,HIT,0.096104,385
14,True,4,True,STAND,-0.500000,28
14,True,4,True,DOUBLE,-0.185185,54
14,True,5,False,HIT,0.063830,94
14,True,5,False,STAND,-0.777778,9
14,True,5,True,HIT,0.155388,399
14,True,5,True,STAND,-0.172414,29
14,True,5,True,DOUBLE,-0.060606,33
14,True,6,False,HIT,0.222222,81
14,True,6,False,STAND,-0.800000,10
14,True,6,True,HIT,0.065395,367
14,True,6,True,STAND,-0.266667,30
14,True,6,True,DOUBLE,-0.078431,51
14,True,7,False,HIT,-0.294118,51
14,True,7,False,STAND,-0.333333,18
14,True,7,True,HIT,-0.173913,46
14,True,7,True,STAND,-0.285714,28
14,True,7,True,DOUBLE,-0.144044,361
14,True,8,False,HIT,-0.283784,74
14,True,8,False,STAND,-0.636364,11
14,True,8,True,HIT,-0.202597,385
14,True,8,True,STAND,-0.266667,30
14,True,8,True,DOUBLE,-0.275862,29
14,True,9,False,HIT,-0.294118,68
14,True,9,False,STAND,-0.636364,11
14,True,9,True,HIT,-0.220721,444
14,True,9,True,STAND,-0.444444,36
14,True,9,True,DOUBLE,-1.000000,38
14,True,10,False,HIT,-0.293860,228
14,True,10,False,STAND,-0.431034,116
14,True,10,True,HIT,-0.287273,1375
14,True,10,True,STAND,-0.544828,145
14,True,10,True,DOUBLE,-0.354331,254
15,False,1,False,HIT,-0.635511,2771
15,False,1,False,STAND,-0.768293,328
15,False,1,True,HIT,-0.623903,2393
15,False,1,True,STAND,-0.785311,177
15,False,1,True,DOUBLE,-1.082873,181
15,False,2,False,HIT,-0.395470,574
15,False,2,False,STAND,-0.267304,2615
15,False,2,True,HIT,-0.438202,178
15,False,2,True,STAND,-0.283992,2405
15,False,2,True,DOUBLE,-0.692683,205
15,False,3,False,HIT,-0.435811,296
15,False,3,False,STAND,-0.247895,2731
15,False,3,True,HIT,-0.306723,238
15,False,3,True,STAND,-0.233069,2274
15,False,3,True,DOUBLE,-0.850877,228
15,False,4,False,HIT,-0.386555,357
15,False,4,False,STAND,-0.199282,2785
15,False,4,True,HIT,-0.338710,186
15,False,4,True,STAND,-0.181242,2367
15,False,4,True,DOUBLE,-0.782123,179
15,False,5,False,HIT,-0.433121,314
15,False,5,False,STAND,-0.169455,2750
15,False,5,True,HIT,-0.311966,234
15,False,5,True,STAND,-0.173228,2286
15,False,5,True,DOUBLE,-0.883978,181
15,False,6,False,HIT,-0.284369,531
15,False,6,False,STAND,-0.125806,2480
